method,score,call_rate,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,precision,recall_tpr,fpr,tnr,f1,balanced_accuracy,mcc,yes_rate
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,macro,negative_related_present,3092,0,333,2759,0,0.8923027166882277,0.0,0.0,0.10769728331177232,0.8923027166882277,0.0,0.44615135834411385,0.0,0.10769728331177232
all_selected,lh_shape_pope_layers_22_31,0.25,2250,0.75,macro,negative_absent_plain,1408,0,36,1372,0,0.9744318181818182,0.0,0.0,0.02556818181818182,0.9744318181818182,0.0,0.4872159090909091,0.0,0.02556818181818182
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,adversarial,all,3000,1212,184,1316,288,0.8426666666666667,0.8681948424068768,0.808,0.12266666666666666,0.8773333333333333,0.8370165745856354,0.8426666666666667,0.6869865328026498,0.4653333333333333
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,adversarial,positive,1500,1212,0,0,288,0.808,1.0,0.808,0.0,0.0,0.8938053097345133,0.404,0.0,0.808
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,adversarial,negative,1500,0,184,1316,0,0.8773333333333333,0.0,0.0,0.12266666666666666,0.8773333333333333,0.0,0.43866666666666665,0.0,0.12266666666666666
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,adversarial,negative_related_present,1272,0,176,1096,0,0.8616352201257862,0.0,0.0,0.13836477987421383,0.8616352201257862,0.0,0.4308176100628931,0.0,0.13836477987421383
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,adversarial,negative_absent_plain,228,0,8,220,0,0.9649122807017544,0.0,0.0,0.03508771929824561,0.9649122807017544,0.0,0.4824561403508772,0.0,0.03508771929824561
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,popular,all,3000,1213,83,1417,287,0.8766666666666667,0.9359567901234568,0.8086666666666666,0.05533333333333333,0.9446666666666667,0.8676680972818313,0.8766666666666667,0.7603983179388965,0.432
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,popular,positive,1500,1213,0,0,287,0.8086666666666666,1.0,0.8086666666666666,0.0,0.0,0.8942130482860302,0.4043333333333333,0.0,0.8086666666666666
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,popular,negative,1500,0,83,1417,0,0.9446666666666667,0.0,0.0,0.05533333333333333,0.9446666666666667,0.0,0.4723333333333333,0.0,0.05533333333333333
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,popular,negative_related_present,980,0,73,907,0,0.9255102040816326,0.0,0.0,0.07448979591836735,0.9255102040816326,0.0,0.4627551020408163,0.0,0.07448979591836735
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,popular,negative_absent_plain,520,0,10,510,0,0.9807692307692307,0.0,0.0,0.019230769230769232,0.9807692307692307,0.0,0.49038461538461536,0.0,0.019230769230769232
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,random,all,3000,1213,37,1463,287,0.892,0.9704,0.8086666666666666,0.024666666666666667,0.9753333333333334,0.8821818181818182,0.892,0.7951211228485884,0.4166666666666667
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,random,positive,1500,1213,0,0,287,0.8086666666666666,1.0,0.8086666666666666,0.0,0.0,0.8942130482860302,0.4043333333333333,0.0,0.8086666666666666
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,random,negative,1500,0,37,1463,0,0.9753333333333334,0.0,0.0,0.024666666666666667,0.9753333333333334,0.0,0.4876666666666667,0.0,0.024666666666666667
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,random,negative_related_present,840,0,32,808,0,0.9619047619047619,0.0,0.0,0.0380952380952381,0.9619047619047619,0.0,0.48095238095238096,0.0,0.0380952380952381
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,random,negative_absent_plain,660,0,5,655,0,0.9924242424242424,0.0,0.0,0.007575757575757576,0.9924242424242424,0.0,0.4962121212121212,0.0,0.007575757575757576
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,macro,all,9000,3638,304,4196,862,0.8704444444444445,0.9228817858954845,0.8084444444444444,0.06755555555555555,0.9324444444444444,0.8618810708362946,0.8704444444444444,0.7466513815414448,0.438
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,macro,positive,4500,3638,0,0,862,0.8084444444444444,1.0,0.8084444444444444,0.0,0.0,0.8940771688375522,0.4042222222222222,0.0,0.8084444444444444
base_yes_selected,lh_shape_pope_layers_22_31,0.25,1013,0.8874444444444445,macro,negative,4500,0,304,4196,0,0.9324444444444444,0.0,0.0,0.06755555555555555,0.9324444444444444,0.0,0.4662222222222222,0.0,0.06755555555555555
