method,score,selection_rate,selected_rows,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,mcc,tpr,fpr,tnr,precision,f1,yes_rate
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.25,2250,2250,0.75,random,negative_related_present,840,0,41,799,0,0.9511904761904761,0.0,0.0,0.04880952380952381,0.9511904761904761,0.0,0.0,0.04880952380952381
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.25,2250,2250,0.75,popular,all,3000,1219,108,1392,281,0.8703333333333333,0.7456424538763519,0.8126666666666666,0.072,0.928,0.9186134137151469,0.8623983020870181,0.44233333333333336
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.25,2250,2250,0.75,popular,negative_related_present,980,0,92,888,0,0.9061224489795918,0.0,0.0,0.09387755102040816,0.9061224489795918,0.0,0.0,0.09387755102040816
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.25,2250,2250,0.75,adversarial,all,3000,1218,212,1288,282,0.8353333333333334,0.6713981431100662,0.812,0.14133333333333334,0.8586666666666667,0.8517482517482518,0.8313993174061434,0.4766666666666667
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.25,2250,2250,0.75,adversarial,negative_related_present,1272,0,200,1072,0,0.8427672955974843,0.0,0.0,0.15723270440251572,0.8427672955974843,0.0,0.0,0.15723270440251572
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.25,1013,1013,0.8874444444444445,macro,all,9000,3638,304,4196,862,0.8704444444444445,0.7466513815414448,0.8084444444444444,0.06755555555555555,0.9324444444444444,0.9228817858954845,0.8618810708362946,0.438
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.25,1013,1013,0.8874444444444445,macro,negative_related_present,3092,0,281,2811,0,0.9091203104786546,0.0,0.0,0.09087968952134541,0.9091203104786546,0.0,0.0,0.09087968952134541
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.25,1013,1013,0.8874444444444445,random,all,3000,1213,37,1463,287,0.892,0.7951211228485884,0.8086666666666666,0.024666666666666667,0.9753333333333334,0.9704,0.8821818181818182,0.4166666666666667
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.25,1013,1013,0.8874444444444445,random,negative_related_present,840,0,32,808,0,0.9619047619047619,0.0,0.0,0.0380952380952381,0.9619047619047619,0.0,0.0,0.0380952380952381
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.25,1013,1013,0.8874444444444445,popular,all,3000,1213,83,1417,287,0.8766666666666667,0.7603983179388965,0.8086666666666666,0.05533333333333333,0.9446666666666667,0.9359567901234568,0.8676680972818313,0.432
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.25,1013,1013,0.8874444444444445,popular,negative_related_present,980,0,73,907,0,0.9255102040816326,0.0,0.0,0.07448979591836735,0.9255102040816326,0.0,0.0,0.07448979591836735
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.25,1013,1013,0.8874444444444445,adversarial,all,3000,1212,184,1316,288,0.8426666666666667,0.6869865328026498,0.808,0.12266666666666666,0.8773333333333333,0.8681948424068768,0.8370165745856354,0.4653333333333333
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.25,1013,1013,0.8874444444444445,adversarial,negative_related_present,1272,0,176,1096,0,0.8616352201257862,0.0,0.0,0.13836477987421383,0.8616352201257862,0.0,0.0,0.13836477987421383
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.25,1013,0,1.0,macro,all,9000,2834,202,4298,1666,0.7924444444444444,0.6185377125758402,0.6297777777777778,0.04488888888888889,0.9551111111111111,0.9334650856389987,0.7521231422505308,0.3373333333333333
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.25,1013,0,1.0,macro,negative_related_present,3092,0,191,2901,0,0.9382276843467011,0.0,0.0,0.06177231565329883,0.9382276843467011,0.0,0.0,0.06177231565329883
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.25,1013,0,1.0,random,all,3000,945,24,1476,555,0.807,0.6565121681820618,0.63,0.016,0.984,0.9752321981424149,0.7654921020656137,0.323
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.25,1013,0,1.0,random,negative_related_present,840,0,22,818,0,0.9738095238095238,0.0,0.0,0.02619047619047619,0.9738095238095238,0.0,0.0,0.02619047619047619
